from_id,relationship_type,to_id,established_by,rating_required
HWE.2,HAS_OUTCOME,HWE.2.OUT.3,null,null
HWE.2,HAS_OUTCOME,HWE.2.OUT.4,null,null
HWE.2,HAS_OUTCOME,HWE.2.OUT.5,null,null
HWE.3,HAS_BASE_PRACTICE,HWE.3.BP1,null,null
HWE.3,HAS_BASE_PRACTICE,HWE.3.BP2,null,null
HWE.3,HAS_BASE_PRACTICE,HWE.3.BP3,null,null
HWE.3,HAS_BASE_PRACTICE,HWE.3.BP4,null,null
HWE.3,HAS_BASE_PRACTICE,HWE.3.BP5,null,null
HWE.3,HAS_BASE_PRACTICE,HWE.3.BP6,null,null
HWE.3,BELONGS_TO,HWE,null,null
HWE.3,HAS_OUTCOME,HWE.3.OUT.1,null,null
HWE.3,HAS_OUTCOME,HWE.3.OUT.2,null,null
HWE.3,HAS_OUTCOME,HWE.3.OUT.3,null,null
HWE.3,HAS_OUTCOME,HWE.3.OUT.4,null,null
HWE.3,HAS_OUTCOME,HWE.3.OUT.5,null,null
HWE.3,HAS_OUTCOME,HWE.3.OUT.6,null,null
HWE.4,HAS_BASE_PRACTICE,HWE.4.BP1,null,null
HWE.4,HAS_BASE_PRACTICE,HWE.4.BP2,null,null
HWE.4,HAS_BASE_PRACTICE,HWE.4.BP3,null,null
HWE.4,HAS_BASE_PRACTICE,HWE.4.BP4,null,null
HWE.4,HAS_BASE_PRACTICE,HWE.4.BP5,null,null
HWE.4,HAS_BASE_PRACTICE,HWE.4.BP6,null,null
HWE.4,BELONGS_TO,HWE,null,null
HWE.4,HAS_OUTCOME,HWE.4.OUT.1,null,null
HWE.4,HAS_OUTCOME,HWE.4.OUT.2,null,null
HWE.4,HAS_OUTCOME,HWE.4.OUT.3,null,null
HWE.4,HAS_OUTCOME,HWE.4.OUT.4,null,null
HWE.4,HAS_OUTCOME,HWE.4.OUT.5,null,null
HWE.4,HAS_OUTCOME,HWE.4.OUT.6,null,null
SUP.1,HAS_BASE_PRACTICE,SUP.1.BP1,null,null
SUP.1,HAS_BASE_PRACTICE,SUP.1.BP2,null,null
SUP.1,HAS_BASE_PRACTICE,SUP.1.BP3,null,null
SUP.1,HAS_BASE_PRACTICE,SUP.1.BP4,null,null
SUP.1,HAS_BASE_PRACTICE,SUP.1.BP5,null,null
SUP.1,HAS_BASE_PRACTICE,SUP.1.BP6,null,null
SUP.1,HAS_BASE_PRACTICE,SUP.1.BP7,null,null
SUP.1,BELONGS_TO,SUP,null,null
SUP.1,HAS_OUTCOME,SUP.1.OUT.1,null,null
SUP.1,HAS_OUTCOME,SUP.1.OUT.2,null,null
SUP.1,HAS_OUTCOME,SUP.1.OUT.3,null,null
SUP.1,HAS_OUTCOME,SUP.1.OUT.4,null,null
SUP.1,HAS_OUTCOME,SUP.1.OUT.5,null,null
SUP.1,HAS_OUTCOME,SUP.1.OUT.6,null,null
SUP.8,HAS_BASE_PRACTICE,SUP.8.BP1,null,null
SUP.8,HAS_BASE_PRACTICE,SUP.8.BP2,null,null
SUP.8,HAS_BASE_PRACTICE,SUP.8.BP3,null,null
SUP.8,HAS_BASE_PRACTICE,SUP.8.BP4,null,null
SUP.8,HAS_BASE_PRACTICE,SUP.8.BP5,null,null
SUP.8,HAS_BASE_PRACTICE,SUP.8.BP6,null,null
